noun	gender	count
a	f	8577
a	m	11704
abaissement	m	21972
abandon	m	45117
abaque	m	1374
abat	m	1557
abattage	m	1938
abattement	m	11840
abattis	m	630
abattoir	m	4778
abbaye	f	12687
abbesse	f	1639
abbé	m	11359
abcès	m	9367
abdication	f	4300
abdomen	m	1121
abduction	f	827
abeille	f	6572
aberration	f	15831
abjection	f	622
abjuration	f	1126
ablatif	m	562
ablation	f	2624
ablution	f	568
abnégation	f	2790
aboiement	m	1452
abolición	f	556
abolition	f	6739
abomination	f	3364
abondance	f	18167
abondant	m	1242
abondante	f	1653
abondement	m	719
abonnement	m	32316
abonné	m	3705
abord	m	13047
abordage	m	2102
aboutissement	m	17544
abrasion	f	1096
abreuvoir	m	1617
abri	m	39970
abrogation	f	2081
abrupt	m	714
abruti	m	963
abrégé	m	9285
abréviation	f	4428
abscisse	f	566
absence	f	153222
absent	m	3890
absentéisme	m	2389
abside	f	6109
absolu	m	27074
absolution	f	2216
absolutisation	f	853
absolutisme	m	2997
absorption	f	8965
abstention	f	10747
abstentionnisme	m	1079
abstinence	f	1865
abstraction	f	37598
abstrait	m	1442
absurde	m	717
absurdité	f	15788
abuela	f	512
abundancia	f	948
abus	m	39099
abécédaire	m	1719
abîme	m	32563
acacia	m	1183
académicien	m	4462
académie	f	12202
académisme	m	2758
acarien	m	556
accablement	m	961
accalmie	f	7597
accaparement	m	1316
accent	m	63648
accentuation	f	19662
acceptabilité	f	703
acceptation	f	29990
accepteur	m	682
acception	f	34944
accessibilité	f	3857
accession	f	3715
accessit	m	745
accessoire	m	9191
accident	m	190324
accidenté	m	909
acción	f	5631
acciôn	f	955
acclamation	f	1169
acclimatation	f	1076
accolade	f	2764
accommodation	f	1877
accommodement	m	5387
accompagnateur	m	2348
accompagnement	m	27685
accompli	m	806
accomplissement	m	17161
accord	m	658202
accordéon	m	3038
accordéoniste	m	779
accouchement	m	15102
accoucheur	m	1063
accoucheuse	f	815
accouchée	f	682
accouplement	m	2714
accoutrement	m	1388
accoutumance	f	2624
accroc	m	2700
accrochage	m	7692
accroche	f	1097
accroissement	m	213360
accréditation	f	2042
accueil	m	63923
acculturation	f	7477
accumulateur	m	1293
accumulation	f	52990
accusateur	m	1465
accusatif	m	1212
accusation	f	24557
accès	m	165528
accélérateur	m	6457
accélération	f	59114
aceptación	f	590
acharnement	m	7802
achat	m	16207
acheminement	m	3563
acheteur	m	12954
achèvement	m	7009
acide	m	13269
acidification	f	1190
acidité	f	1447
acidose	f	2558
acier	m	7766
aciérie	f	3164
acné	f	575
acolyte	m	931
acompte	m	7281
acoustique	f	1210
acque	m	945
acquiescement	m	5119
acquis	m	29155
acquisition	f	18380
acquit	m	929
acquittement	m	4033
acquéreur	m	4918
acre	f	1025
acre	m	995
acrobate	m	1717
acrobatie	f	872
acronyme	m	1321
acropole	f	702
acrostiche	m	571
actant	m	4947
acte	m	735844
acteur	m	130836
actif	m	29723
action	f	749371
actionnaire	m	9655
actionnariat	m	3251
actitud	f	1919
activateur	m	1142
activation	f	10179
actividad	f	2835
activisme	m	6011
activiste	m	2485
activite	f	863
activité	f	712511
acto	m	903
actrice	f	16072
actuación	f	787
actualidad	f	2935
actualisation	f	14257
actualité	f	27558
acuité	f	22326
acumulación	f	601
adage	m	5668
adagio	m	590
adaptabilité	f	1608
adaptación	f	548
adaptateur	m	1866
adaptation	f	106170
addendum	m	970
addiction	f	1063
additif	m	3587
addition	f	21094
adduction	f	1687
adepte	f	1509
adepte	m	14211
adhérence	f	2382
adhérent	m	3755
